"codeisin","tick","Instruments","Secteur/Catégorie","Compartiment","Nombre de titre formant le capital"
"MA0000012296","AFM","AFMA","ACTIONS 1ERE LIGNE","Principal B","1000000"
"MA0000012114","AFI","AFRIC INDUSTRIES SA","ACTIONS 1ERE LIGNE","Principal B","291500"
"MA0000010951","GAZ","AFRIQUIA GAZ","ACTIONS 1ERE LIGNE","Principal A","3437500"
"MA0000010944","AGM","AGMA","ACTIONS 1ERE LIGNE","Alternatif A","200000"
"MA0000011819","ADI","ALLIANCES","ACTIONS 1ERE LIGNE","Principal B","22078588"
"MA0000010936","ALM","ALUMINIUM DU MAROC","ACTIONS 1ERE LIGNE","Principal B","465954"
"MA0000012460","ARD","ARADEI CAPITAL","ACTIONS 1ERE LIGNE","Principal F","10645783"
"MA0000011710","ATL","ATLANTASANAD","ACTIONS 1ERE LIGNE","Principal A","60283595"
"MA0000012445","ATW","ATTIJARIWAFA BANK","ACTIONS 1ERE LIGNE","Principal A","215140839"
"MA0000010969","ATH","AUTO HALL","ACTIONS 1ERE LIGNE","Principal A","50294528"
"MA0000011009","NEJ","AUTO NEJMA","ACTIONS 1ERE LIGNE","Principal B","1023264"
"MA0000011991","BAL","BALIMA","ACTIONS 1ERE LIGNE","Principal B","1744000"
"MA0000012437","BOA","BANK OF AFRICA","ACTIONS 1ERE LIGNE","Principal A","208769827"
"MA0000011884","BCP","BCP","ACTIONS 1ERE LIGNE","Principal A","203312473"
"MA0000010811","BCI","BMCI","ACTIONS 1ERE LIGNE","Principal A","13279286"
"MA0000011868","CRS","CARTIER SAADA","ACTIONS 1ERE LIGNE","Principal B","5265000"
"MA0000010381","CDM","CDM","ACTIONS 1ERE LIGNE","Principal A","10881214"
"MA0000011454","CIH","CIH","ACTIONS 1ERE LIGNE","Principal A","28324735"
"MA0000010506","CMA","CIMENTS DU MAROC","ACTIONS 1ERE LIGNE","Principal A","14436004"
"MA0000011934","COL","COLORADO","ACTIONS 1ERE LIGNE","Principal B","16117611"
"MA0000012247","CSR","COSUMAR","ACTIONS 1ERE LIGNE","Principal A","94487143"
"MA0000010340","CTM","CTM","ACTIONS 1ERE LIGNE","Principal B","1225978"
"MA0000011421","DRI","DARI COUSPATE","ACTIONS 1ERE LIGNE","Principal B","298375"
"MA0000011777","DLM","DELATTRE LEVIVIER MAROC","ACTIONS 1ERE LIGNE","Principal B","1250000"
"MA0000011850","DHO","DELTA HOLDING","ACTIONS 1ERE LIGNE","Principal B","87600000"
"MA0000010639","DIS","DIAC SALAF","ACTIONS 1ERE LIGNE","Principal B","1053404"
"MA0000011637","DWY","DISWAY","ACTIONS 1ERE LIGNE","Principal B","1885762"
"MA0000011512","ADH","DOUJA PROM ADDOHA","ACTIONS 1ERE LIGNE","Principal B","402551254"
"MA0000011942","NKL","ENNAKL","ACTIONS 1ERE LIGNE","Principal B","30000000"
"MA0000010357","EQD","EQDOM","ACTIONS 1ERE LIGNE","Principal B","1670250"
"MA0000011587","FBR","FENIE BROSSETTE","ACTIONS 1ERE LIGNE","Principal B","1438984"
"MA0000011611","HPS","HPS","ACTIONS 1ERE LIGNE","Principal B","703599"
"MA0000011132","IBC","IB MAROC.COM","ACTIONS 1ERE LIGNE","Principal B","417486"
"MA0000012387","IMO","IMMORENTE INVEST","ACTIONS 1ERE LIGNE","Principal B","9007000"
"MA0000011579","INV","INVOLYS","ACTIONS 1ERE LIGNE","Alternatif A","382716"
"MA0000011488","IAM","ITISSALAT AL-MAGHRIB","ACTIONS 1ERE LIGNE","Principal A","879095340"
"MA0000012080","JET","JET CONTRACTORS","ACTIONS 1ERE LIGNE","Principal B","3029522"
"MA0000011801","LBV","LABEL VIE","ACTIONS 1ERE LIGNE","Principal A","2838962"
"MA0000012320","LHM","LAFARGEHOLCIM MAR","ACTIONS 1ERE LIGNE","Principal A","23431240"
"MA0000012031","LES","LESIEUR CRISTAL","ACTIONS 1ERE LIGNE","Principal A","27631510"
"MA0000011439","LYD","LYDEC","ACTIONS 1ERE LIGNE","Principal B","8000000"
"MA0000011678","M2M","M2M Group","ACTIONS 1ERE LIGNE","Principal B","647777"
"MA0000010985","MOX","MAGHREB OXYGENE","ACTIONS 1ERE LIGNE","Principal B","812500"
"MA0000011215","MAB","MAGHREBAIL","ACTIONS 1ERE LIGNE","Principal B","1384182"
"MA0000011058","MNG","MANAGEM","ACTIONS 1ERE LIGNE","Principal A","9991308"
"MA0000010035","MLE","MAROC LEASING","ACTIONS 1ERE LIGNE","Principal B","2776768"
"MA0000011447","MDP","MED PAPER","ACTIONS 1ERE LIGNE","Principal B","2582555"
"MA0000012163","MIC","MICRODATA","ACTIONS 1ERE LIGNE","Alternatif A","1680000"
